               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10144,            0.024823,                   0,                   0,                   0,                   0,                   0,             0.13867,            0.018845,                   0,             0.08545,             0.00045,             0.00045
                   1,             0.09775,            0.020476,                   0,                   0,                   0,                   0,                   0,             0.13602,            0.014681,                   0,            0.069927,          0.00092693,          0.00092693
                   2,            0.094103,            0.016626,                   0,          7.8431e-05,            0.020619,          4.3771e-05,          8.4095e-06,              0.1287,            0.012436,                   0,            0.054401,           0.0014007,           0.0014007
                   3,            0.087874,            0.013846,                   0,          0.00019608,            0.051546,          0.00014694,          1.4694e-05,             0.11975,            0.010984,                   0,            0.038871,           0.0018713,           0.0018713
                   4,            0.083224,             0.01252,                   0,          0.00023529,            0.061856,          0.00038338,          0.00012612,             0.11407,           0.0099843,                   0,            0.023339,           0.0023387,           0.0023387
                   5,            0.073534,            0.011917,                   0,          0.00082353,             0.21649,          0.00057767,          0.00011182,             0.10884,              0.0098,                   0,            0.007803,            0.002803,            0.002803
                   6,            0.068363,            0.011703,                   0,            0.001451,             0.38144,           0.0015936,          0.00031168,            0.097511,           0.0099258,                   0,           0.0029406,           0.0029406,           0.0029406
                   7,            0.059316,            0.011922,                   0,            0.001098,             0.28866,           0.0014557,           0.0003843,            0.095071,            0.010175,                   0,           0.0029406,           0.0029406,           0.0029406
                   8,            0.057201,            0.011629,                   0,           0.0014118,             0.37113,           0.0027358,          0.00070744,            0.088546,            0.010285,                   0,           0.0029307,           0.0029307,           0.0029307
                   9,            0.054253,             0.01168,                   0,           0.0016863,              0.4433,           0.0028631,           0.0006303,            0.087994,            0.009112,                   0,           0.0029208,           0.0029208,           0.0029208
                  10,            0.050064,             0.01146,                   0,           0.0018431,             0.48454,           0.0027693,          0.00074617,            0.080419,            0.010682,                   0,           0.0029109,           0.0029109,           0.0029109
                  11,            0.043017,            0.012053,                   0,           0.0023137,             0.60825,           0.0032098,          0.00088305,            0.077851,            0.010612,                   0,            0.002901,            0.002901,            0.002901
                  12,            0.044956,            0.011939,                   0,           0.0021569,             0.56701,           0.0041978,           0.0012376,            0.073671,            0.010878,                   0,           0.0028911,           0.0028911,           0.0028911
                  13,            0.040816,            0.011641,                   0,           0.0022745,             0.59794,           0.0058157,           0.0020754,            0.077294,            0.010862,                   0,           0.0028812,           0.0028812,           0.0028812
                  14,            0.038717,            0.011719,                   0,           0.0026275,             0.69072,           0.0061697,           0.0019305,            0.078372,            0.010474,                   0,           0.0028713,           0.0028713,           0.0028713
                  15,            0.040224,            0.011611,                   0,           0.0030432,             0.79381,           0.0097374,           0.0034405,            0.071927,            0.010263,                   0,           0.0028614,           0.0028614,           0.0028614
                  16,            0.036134,            0.011686,                   0,           0.0035159,             0.90722,             0.01954,           0.0062149,            0.070316,            0.010161,                   0,           0.0028515,           0.0028515,           0.0028515
                  17,            0.036793,             0.01136,                   0,           0.0033311,             0.85567,            0.056133,            0.016431,            0.065943,           0.0099242,                   0,           0.0028416,           0.0028416,           0.0028416
                  18,            0.033871,            0.011132,                   0,           0.0031385,             0.80412,              0.1537,            0.042099,            0.066745,           0.0094365,                   0,           0.0028317,           0.0028317,           0.0028317
                  19,            0.034803,            0.010605,                   0,           0.0032546,             0.83505,             0.40666,             0.12997,            0.060983,           0.0091671,                   0,           0.0028218,           0.0028218,           0.0028218
                  20,             0.03457,            0.010437,                   0,           0.0035596,             0.89691,             0.63736,             0.20798,            0.058319,           0.0094029,                   0,           0.0028119,           0.0028119,           0.0028119
                  21,            0.033392,            0.010045,                   0,           0.0036581,             0.90722,             0.68738,             0.20515,            0.062587,           0.0085802,                   0,            0.002802,            0.002802,            0.002802
                  22,            0.030063,           0.0096347,                   0,            0.032028,             0.82474,             0.56091,             0.14756,            0.055052,           0.0082003,                   0,           0.0027921,           0.0027921,           0.0027921
                  23,             0.03111,           0.0091466,                   0,             0.75981,             0.58704,             0.65139,             0.19789,            0.055455,           0.0080379,                   0,           0.0027822,           0.0027822,           0.0027822
                  24,            0.030728,             0.00883,                   0,             0.76257,             0.56292,             0.63522,             0.17624,            0.060266,           0.0072463,                   0,           0.0027723,           0.0027723,           0.0027723
                  25,            0.029992,           0.0082992,                   0,             0.80952,             0.65724,             0.72924,             0.24181,            0.058866,           0.0069236,                   0,           0.0027624,           0.0027624,           0.0027624
                  26,            0.030224,           0.0076985,                   0,             0.83879,             0.75096,             0.78322,             0.23865,             0.05569,           0.0067203,                   0,           0.0027525,           0.0027525,           0.0027525
                  27,             0.02927,            0.007267,                   0,             0.82999,             0.78351,             0.82674,             0.27365,            0.055799,           0.0061563,                   0,           0.0027426,           0.0027426,           0.0027426
                  28,            0.027571,           0.0068214,                   0,              0.7595,             0.73196,             0.75608,             0.22386,            0.057246,           0.0055118,                   0,           0.0027327,           0.0027327,           0.0027327
                  29,            0.027866,           0.0063956,                   0,             0.82447,             0.81443,             0.86095,             0.27421,            0.054551,           0.0053271,                   0,           0.0027228,           0.0027228,           0.0027228
                  30,            0.027262,           0.0061686,                   0,             0.78288,             0.79381,             0.82652,             0.31128,            0.053682,           0.0052327,                   0,           0.0027129,           0.0027129,           0.0027129
                  31,            0.026156,            0.006073,                   0,             0.82641,             0.82474,             0.84233,             0.29243,            0.055136,           0.0050031,                   0,            0.002703,            0.002703,            0.002703
                  32,            0.026332,           0.0058165,                   0,             0.89644,             0.80317,             0.89432,             0.30627,            0.053797,           0.0048615,                   0,           0.0026931,           0.0026931,           0.0026931
                  33,            0.026473,           0.0056706,                   0,               0.892,             0.85152,             0.89896,             0.29849,             0.05591,            0.004776,                   0,           0.0026832,           0.0026832,           0.0026832
